orden,apellido,nombre,genero,partido,partidoCorto,alineacion
2,CEDEIRA,FACUNDO GABRIEL,M,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
3,BARRETO,JESSICA SOLEDAD,F,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
4,VAZQUEZ,JOSIAS NAHUM,M,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
5,LUDUEÑA SENLLE,MANUELA,F,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
6,KOLACZYK,MAXIMILIANO,M,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
7,SERVELLI,PAULINA,F,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
8,BITCHIK DANEL,ALEX JOEL,M,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
9,BLAS ALAYO,XIMENA BELEN,F,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
10,AGNONE CONTE,DANIEL ALEJANDRO,M,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
11,BARRAGAN,TERESA JUANA,F,EVOLUCIÓN,EVOLUCIÓN,Ex oficialistas
1,KOUTSOVITIS,MARÍA EVA,F,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
2,ELGER VARGAS,ARIEL SEBASTIÁN,M,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
3,RUEJAS,NOEMÍ MÓNICA,F,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
4,PARRA,SERGIO DANIEL,M,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
5,BIANCO,ANTONELLA,F,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
6,BALDIVIEZO,JONATAN EMANUEL,M,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
7,GONZALEZ GASS,VIRGINIA,F,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
8,CAMPORA,IGNACIO,M,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
9,ACEVEDO,CLARA HELENA,F,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
10,MARMONI,ALEJANDRO FABIÁN,M,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
11,ALBISU,MARÍA CLARA,F,CONFLUENCIA - POR LA IGUALDAD Y LA SOBERANÍA,CONFLUENCIA,Vecinal
1,RODRIGUEZ LARRETA,HORACIO ANTONIO,M,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
2,TAGLIAFERRI,GUADALUPE,F,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
3,FERRARIO,EMMANUEL ALBERTO,M,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
4,BALBI,MELISA,F,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
5,TELERMAN,JORGE ALBERTO,M,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
6,FERESIN,MARIA GUADALUPE,F,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
7,CARZOGLIO,AUGUSTO ALEJANDRO,M,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
8,RODRIGUEZ,MIRANDA JULIA,F,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
9,BORGES,JORGE GABRIEL,M,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
10,MESISTRANO,BLANCA GLADYS MARGARITA,F,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
11,KEHIAYAN,JORGE RAUL,M,VOLVAMOS BUENOS AIRES,VOLVAMOS BUENOS AIRES,Ex oficialistas
1,BIASI,VANINA,F,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
2,BONFANTE,LUCA,M,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
3,FIERRO,CELE,F,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
4,ALMEIDA,PABLO,M,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
5,TRIMARCHI,MERCEDES,F,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
6,ROMERO,AGUS,M,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
7,NAVARRO PALACIOS,ALICIA,F,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
8,LIPCOVICH,ALEJANDRO,M,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
9,FERNÁNDEZ MARTI,TATIANA,F,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
10,MÁSCOLO,TOM,M,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
11,CARDOSO MARINO,YOHIA,F,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FIT - UNIDAD,Izquierda
1,BIONDINI,CESAR,M,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
2,CARDOZO,ANALÍA VERÓNICA,F,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
3,JAIME,HECTOR DANIEL,M,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
4,QUINODOZ,ALICIA MARÍA,F,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
5,ROSAS,FEDERICO PATRICIO,M,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
6,LOZADA,CINTIA LORENA,F,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
7,ZELENEÑKI,DANIEL ALEJANDRO,M,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
8,NOLASCO,GLADYS ROSA,F,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
9,VIVES,GONZALO RAÚL,M,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
10,AUCE,GLADYS FABIANA,F,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
11,PADULA,LEANDRO NICOLAS,M,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL,Vecinal
